0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
60, 180, 163, 164, 117, 60, 163, 60, 106, 71, 117, 180, 66, 192, 180, 181, 180, 106, 180, 163, 163, 71, 155, 66, 163, 192, 106, 180, 71, 180, 66, 106, 60, 66, 117, 66, 66, 71, 192, 60, 192, 106, 69, 163, 180, 106, 66, 60, 60, 71, 60, 71, 180, 106, 71, 164, 66, 106, 192, 163, 117, 71, 117, 106, 60, 163, 66, 71, 164, 69, 117, 71, 66, 60, 180, 106, 192, 192, 180, 163, 106, 180, 180, 66, 106, 66, 180, 163, 71, 71, 163, 66, 66, 192, 117, 163, 180, 66, 106, 192, 180, 117, 106, 66, 60, 60, 164, 106, 71, 192, 180, 106, 180, 180, 66, 60, 180, 117, 106, 180, 180, 66, 71, 163, 164, 66, 180, 66, 106, 180, 180, 163, 180, 71, 163, 192, 66, 163, 71, 180, 60, 71, 164, 192, 66, 180, 180, 180, 47, 66, 66, 106, 71, 106, 66, 192, 163, 66, 192, 180, 163, 106, 163, 163, 164, 164, 180, 163, 106, 192, 163, 66, 180, 71, 66, 180, 60, 66, 71, 163, 69, 181, 66, 163, 66, 163, 163, 109, 117, 192, 106, 69, 163, 164, 192, 180, 106, 172, 163, 71
12, 12, 14, 10, 7, 1, 14, 1, 10, 4, 7, 12, 2, 14, 2, 13, 14, 5, 2, 9, 9, 4, 14, 2, 14, 14, 5, 2, 4, 12, 2, 5, 1, 2, 7, 2, 2, 4, 14, 1, 14, 5, 3, 5, 12, 10, 2, 1, 1, 4, 1, 4, 2, 5, 4, 10, 2, 5, 14, 9, 7, 4, 7, 5, 1, 9, 2, 4, 10, 3, 7, 4, 2, 1, 12, 5, 14, 14, 2, 9, 5, 12, 12, 2, 10, 2, 2, 9, 4, 4, 9, 2, 2, 14, 7, 9, 12, 2, 10, 12, 12, 7, 5, 2, 1, 1, 10, 5, 4, 14, 2, 5, 2, 12, 2, 1, 2, 7, 5, 3, 2, 2, 4, 9, 10, 2, 12, 2, 10, 2, 2, 9, 12, 7, 9, 14, 2, 9, 4, 2, 1, 4, 10, 14, 2, 12, 12, 12, 1, 2, 2, 5, 4, 5, 2, 14, 9, 2, 14, 1, 9, 10, 9, 9, 10, 10, 12, 5, 5, 14, 9, 2, 12, 4, 2, 12, 1, 2, 4, 9, 3, 13, 2, 9, 2, 9, 14, 12, 7, 14, 5, 3, 9, 10, 14, 12, 5, 12, 9, 4
8, 8, 10, 7, 5, 0, 10, 0, 7, 3, 5, 8, 1, 10, 1, 9, 8, 4, 1, 6, 6, 3, 10, 1, 10, 10, 4, 1, 3, 8, 1, 4, 0, 1, 5, 1, 1, 3, 10, 0, 10, 4, 2, 4, 8, 7, 1, 0, 0, 3, 0, 3, 1, 4, 3, 7, 1, 4, 10, 6, 5, 3, 5, 4, 0, 6, 1, 1, 7, 2, 5, 3, 1, 0, 8, 4, 10, 10, 1, 6, 4, 8, 8, 1, 7, 1, 1, 4, 3, 3, 10, 1, 1, 10, 5, 6, 8, 1, 7, 8, 8, 5, 4, 1, 0, 0, 7, 4, 3, 10, 1, 4, 1, 8, 1, 0, 1, 5, 4, 2, 1, 1, 3, 6, 7, 1, 8, 1, 7, 1, 2, 6, 8, 5, 6, 10, 1, 6, 3, 1, 0, 3, 7, 10, 1, 8, 8, 8, 0, 1, 1, 4, 3, 4, 1, 10, 6, 1, 10, 0, 6, 7, 6, 6, 7, 7, 8, 4, 4, 8, 6, 1, 8, 3, 1, 8, 0, 1, 3, 6, 2, 9, 1, 6, 1, 6, 10, 8, 5, 10, 4, 2, 6, 7, 10, 8, 4, 8, 6, 3
8, 8, 10, 7, 3, 0, 10, 0, 7, 3, 3, 8, 1, 10, 1, 9, 8, 4, 1, 6, 6, 3, 10, 1, 10, 10, 4, 1, 3, 8, 1, 4, 0, 1, 3, 1, 1, 3, 10, 0, 10, 4, 2, 4, 8, 7, 1, 0, 0, 3, 0, 3, 2, 4, 3, 7, 1, 4, 10, 6, 3, 3, 3, 4, 0, 10, 1, 1, 7, 2, 3, 3, 1, 0, 8, 4, 8, 10, 1, 6, 4, 8, 8, 1, 7, 1, 1, 4, 3, 3, 10, 1, 1, 10, 3, 6, 8, 1, 7, 8, 8, 3, 4, 1, 0, 0, 7, 4, 3, 10, 1, 4, 1, 8, 1, 0, 1, 3, 4, 2, 1, 1, 3, 6, 7, 1, 8, 1, 7, 1, 2, 6, 8, 3, 6, 10, 1, 6, 3, 1, 0, 3, 7, 10, 1, 8, 8, 8, 0, 1, 1, 4, 3, 4, 1, 10, 6, 1, 10, 0, 10, 7, 6, 6, 7, 7, 8, 4, 4, 8, 6, 1, 8, 3, 1, 8, 0, 1, 3, 6, 2, 9, 1, 6, 1, 6, 10, 8, 3, 10, 4, 2, 6, 7, 10, 8, 4, 8, 6, 3
7, 7, 9, 6, 3, 0, 9, 0, 6, 1, 3, 7, 1, 9, 1, 8, 7, 4, 1, 5, 5, 1, 9, 1, 9, 9, 4, 1, 3, 7, 1, 4, 0, 1, 3, 1, 1, 3, 9, 0, 9, 4, 2, 4, 7, 6, 1, 0, 0, 3, 0, 3, 2, 4, 3, 6, 1, 4, 9, 5, 3, 3, 3, 4, 0, 9, 1, 1, 6, 2, 3, 3, 1, 0, 7, 4, 7, 9, 1, 5, 4, 7, 7, 1, 6, 1, 1, 4, 3, 3, 9, 1, 1, 9, 3, 5, 7, 1, 6, 7, 7, 3, 4, 1, 0, 0, 6, 4, 3, 9, 1, 4, 1, 7, 1, 0, 1, 3, 4, 2, 1, 1, 3, 5, 6, 1, 7, 1, 6, 1, 2, 5, 7, 3, 5, 9, 1, 5, 3, 1, 0, 3, 6, 9, 1, 7, 7, 7, 0, 1, 1, 4, 3, 4, 1, 9, 5, 1, 9, 0, 9, 6, 9, 5, 6, 6, 7, 4, 4, 7, 5, 1, 7, 3, 1, 7, 0, 1, 3, 5, 2, 8, 1, 5, 1, 5, 9, 7, 3, 9, 4, 2, 5, 6, 9, 7, 4, 7, 5, 3
7, 7, 9, 6, 3, 3, 9, 0, 6, 1, 3, 7, 1, 9, 1, 8, 7, 4, 1, 5, 5, 1, 9, 1, 9, 9, 4, 1, 3, 7, 1, 4, 0, 1, 3, 1, 1, 3, 9, 0, 9, 4, 2, 4, 7, 6, 1, 0, 0, 3, 0, 3, 2, 4, 3, 6, 1, 4, 9, 5, 3, 3, 3, 4, 0, 9, 1, 1, 6, 2, 3, 1, 1, 0, 7, 4, 7, 9, 1, 5, 4, 7, 7, 1, 6, 1, 1, 5, 3, 3, 9, 1, 1, 9, 3, 5, 7, 1, 6, 7, 7, 3, 4, 1, 0, 0, 6, 4, 3, 9, 1, 4, 1, 7, 1, 0, 1, 3, 4, 2, 1, 1, 3, 5, 6, 1, 7, 1, 6, 1, 2, 5, 7, 3, 5, 7, 1, 5, 3, 1, 0, 3, 6, 9, 1, 7, 7, 7, 0, 1, 1, 4, 3, 4, 1, 9, 5, 1, 9, 0, 9, 6, 9, 5, 6, 6, 7, 4, 4, 7, 5, 1, 7, 3, 1, 7, 0, 1, 3, 5, 2, 8, 1, 5, 1, 5, 9, 7, 3, 9, 4, 2, 5, 6, 9, 7, 4, 7, 5, 3
8, 8, 9, 6, 3, 0, 9, 0, 6, 1, 0, 8, 1, 9, 1, 8, 8, 4, 1, 5, 5, 1, 9, 1, 9, 9, 4, 1, 3, 8, 1, 4, 0, 1, 3, 1, 1, 3, 9, 0, 9, 4, 2, 4, 8, 6, 1, 0, 0, 3, 0, 3, 2, 4, 3, 6, 1, 4, 9, 5, 3, 3, 3, 4, 0, 9, 1, 1, 6, 2, 3, 1, 1, 0, 8, 4, 8, 9, 1, 5, 4, 8, 8, 1, 6, 1, 1, 5, 3, 3, 9, 1, 1, 9, 0, 5, 8, 1, 6, 8, 8, 3, 4, 1, 0, 0, 6, 4, 3, 9, 1, 4, 1, 8, 1, 0, 1, 3, 4, 2, 1, 1, 3, 5, 6, 1, 8, 1, 6, 1, 2, 5, 8, 3, 5, 8, 1, 5, 3, 1, 0, 3, 6, 9, 1, 8, 8, 8, 0, 1, 1, 4, 3, 4, 1, 9, 5, 1, 9, 0, 9, 6, 9, 5, 6, 6, 8, 4, 4, 8, 5, 1, 8, 3, 1, 8, 0, 1, 3, 5, 2, 8, 1, 5, 1, 5, 9, 8, 0, 9, 4, 2, 5, 6, 9, 8, 4, 8, 5, 3
7, 7, 8, 6, 3, 0, 8, 0, 6, 1, 0, 7, 1, 8, 1, 7, 7, 4, 1, 5, 5, 1, 8, 1, 8, 8, 4, 1, 3, 7, 1, 4, 0, 1, 3, 1, 1, 3, 8, 0, 8, 4, 2, 4, 7, 6, 1, 0, 0, 3, 0, 3, 2, 4, 3, 6, 1, 4, 8, 5, 0, 3, 3, 4, 0, 8, 1, 1, 6, 2, 3, 1, 1, 0, 7, 4, 7, 8, 1, 5, 4, 7, 7, 1, 6, 1, 1, 5, 3, 3, 8, 1, 1, 8, 0, 5, 7, 1, 6, 7, 7, 3, 4, 1, 0, 0, 6, 4, 3, 8, 1, 4, 1, 7, 1, 0, 1, 3, 4, 2, 1, 1, 3, 5, 6, 1, 7, 1, 6, 1, 2, 5, 7, 3, 5, 7, 1, 5, 3, 1, 0, 3, 6, 8, 1, 7, 7, 7, 0, 1, 1, 4, 3, 4, 1, 8, 5, 1, 8, 0, 8, 6, 8, 5, 6, 6, 7, 4, 4, 7, 5, 1, 7, 3, 1, 7, 0, 1, 3, 5, 2, 7, 1, 5, 1, 5, 8, 7, 0, 8, 4, 2, 5, 6, 8, 7, 4, 7, 5, 3
7, 7, 8, 6, 3, 6, 8, 6, 6, 1, 6, 7, 1, 8, 1, 7, 7, 4, 1, 5, 5, 1, 8, 1, 8, 8, 4, 1, 3, 7, 1, 4, 6, 1, 3, 1, 1, 3, 8, 6, 8, 4, 2, 4, 7, 6, 1, 6, 6, 3, 6, 3, 2, 4, 3, 6, 1, 4, 8, 5, 6, 3, 3, 4, 6, 8, 1, 1, 6, 2, 3, 1, 1, 6, 7, 4, 7, 8, 1, 5, 4, 7, 7, 1, 6, 1, 1, 5, 3, 3, 8, 1, 1, 8, 6, 5, 7, 1, 6, 7, 7, 3, 4, 1, 6, 6, 6, 4, 3, 8, 1, 4, 1, 7, 1, 6, 1, 3, 4, 2, 1, 1, 3, 5, 6, 1, 7, 1, 6, 1, 2, 5, 7, 3, 5, 7, 1, 5, 3, 1, 6, 3, 6, 8, 1, 7, 7, 7, 6, 1, 1, 4, 3, 4, 1, 8, 5, 1, 8, 6, 8, 6, 8, 5, 7, 6, 7, 4, 4, 7, 5, 1, 7, 3, 1, 7, 6, 1, 3, 5, 2, 7, 1, 5, 1, 5, 8, 7, 6, 8, 4, 2, 5, 6, 8, 7, 4, 7, 5, 3
6, 6, 7, 5, 2, 5, 7, 5, 5, 0, 5, 6, 0, 7, 0, 4, 6, 3, 0, 4, 4, 0, 7, 0, 7, 7, 3, 0, 2, 6, 0, 3, 5, 0, 2, 0, 0, 2, 7, 5, 7, 3, 1, 3, 6, 5, 0, 5, 5, 2, 5, 2, 1, 3, 2, 5, 0, 3, 7, 4, 5, 2, 2, 3, 5, 7, 0, 0, 5, 1, 2, 0, 0, 5, 6, 3, 6, 7, 0, 4, 3, 6, 6, 0, 5, 0, 0, 4, 2, 2, 7, 0, 0, 7, 5, 4, 6, 0, 5, 6, 6, 2, 3, 0, 5, 5, 5, 3, 2, 7, 0, 3, 0, 6, 0, 5, 0, 2, 3, 1, 0, 0, 2, 4, 5, 0, 6, 0, 5, 0, 1, 4, 6, 2, 4, 6, 0, 4, 2, 0, 5, 2, 5, 7, 0, 6, 6, 6, 5, 0, 0, 3, 2, 3, 0, 7, 4, 0, 7, 5, 7, 5, 7, 4, 4, 5, 6, 3, 3, 6, 4, 0, 6, 2, 0, 6, 5, 0, 2, 4, 1, 4, 0, 4, 0, 4, 7, 6, 5, 7, 3, 1, 4, 5, 7, 6, 3, 6, 4, 2
