0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199
5, 146, 186, 142, 178, 5, 186, 5, 142, 83, 5, 40, 103, 40, 130, 181, 135, 17, 42, 59, 59, 83, 186, 103, 186, 40, 17, 130, 83, 40, 130, 17, 5, 103, 178, 83, 103, 83, 186, 94, 40, 17, 180, 196, 81, 142, 103, 5, 5, 83, 5, 83, 180, 17, 178, 142, 103, 17, 186, 59, 5, 178, 34, 59, 5, 186, 130, 83, 142, 180, 178, 83, 103, 5, 40, 17, 40, 186, 130, 59, 17, 5, 40, 103, 142, 130, 130, 59, 83, 83, 59, 130, 130, 186, 5, 59, 40, 103, 142, 40, 195, 178, 17, 130, 5, 5, 142, 17, 178, 186, 130, 17, 130, 40, 103, 5, 130, 178, 17, 180, 130, 130, 83, 59, 142, 103, 40, 103, 142, 130, 180, 59, 40, 178, 59, 40, 130, 59, 178, 130, 5, 178, 142, 186, 103, 195, 40, 40, 5, 130, 130, 17, 83, 17, 103, 158, 59, 103, 40, 94, 186, 142, 186, 59, 181, 142, 40, 59, 17, 40, 59, 103, 40, 178, 83, 40, 5, 130, 178, 59, 180, 181, 130, 59, 103, 59, 186, 40, 178, 186, 17, 180, 59, 142, 186, 186, 17, 29, 59, 178
0, 4, 19, 13, 16, 0, 19, 0, 13, 8, 0, 4, 10, 19, 11, 18, 4, 1, 17, 6, 6, 8, 19, 10, 19, 4, 1, 11, 8, 4, 11, 1, 0, 10, 16, 8, 8, 8, 19, 0, 19, 1, 17, 6, 0, 13, 8, 0, 0, 8, 0, 8, 17, 1, 16, 13, 10, 1, 19, 6, 0, 16, 16, 6, 0, 19, 11, 8, 13, 17, 16, 8, 10, 0, 4, 1, 4, 19, 11, 6, 1, 0, 4, 10, 13, 11, 11, 6, 8, 8, 6, 11, 11, 19, 0, 6, 4, 10, 13, 4, 4, 16, 1, 11, 0, 0, 13, 1, 16, 19, 11, 1, 11, 4, 10, 0, 11, 16, 1, 17, 11, 11, 8, 6, 13, 10, 4, 10, 13, 11, 17, 6, 4, 16, 6, 4, 11, 6, 16, 11, 0, 16, 13, 4, 10, 4, 4, 4, 0, 11, 11, 1, 8, 1, 10, 19, 6, 10, 19, 0, 19, 13, 19, 6, 18, 13, 4, 6, 1, 4, 6, 10, 4, 16, 8, 4, 0, 11, 16, 6, 17, 18, 11, 6, 10, 6, 19, 4, 0, 19, 1, 17, 6, 13, 19, 4, 1, 4, 6, 16
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 9, 3, 3, 4, 11, 5, 11, 2, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 8, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 2, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 2, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 2, 3, 5, 2, 8, 4, 2, 0, 5, 8, 3, 9, 10, 6, 3, 5, 3, 11, 2, 8, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 6, 3, 3, 4, 11, 5, 11, 2, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 0, 8, 8, 3, 0, 11, 6, 4, 7, 9, 0, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 3, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 2, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 2, 3, 5, 2, 8, 4, 2, 0, 5, 8, 3, 9, 10, 6, 3, 5, 3, 11, 2, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 6, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 3, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 0, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 2, 3, 5, 2, 8, 4, 2, 0, 5, 8, 3, 9, 10, 6, 3, 5, 3, 11, 2, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 9, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 8, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 2, 3, 5, 2, 8, 4, 2, 0, 6, 8, 3, 9, 10, 6, 3, 5, 3, 11, 11, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 11, 1, 6, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 3, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 0, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 11, 3, 5, 2, 8, 4, 2, 0, 6, 8, 3, 9, 10, 6, 3, 5, 3, 11, 11, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 9, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 0, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 0, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 10, 7, 2, 3, 1, 11, 3, 5, 2, 8, 4, 2, 0, 6, 8, 3, 9, 10, 6, 3, 5, 3, 11, 11, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 11, 1, 6, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 8, 8, 8, 3, 0, 11, 6, 4, 7, 9, 8, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 11, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 6, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 7, 7, 2, 3, 1, 11, 3, 5, 2, 8, 4, 2, 0, 6, 8, 3, 9, 10, 6, 3, 5, 3, 11, 11, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
2, 2, 11, 7, 8, 0, 11, 0, 7, 4, 0, 2, 5, 11, 6, 10, 2, 1, 6, 3, 3, 4, 11, 5, 11, 11, 1, 6, 4, 2, 5, 1, 0, 5, 8, 4, 4, 4, 11, 0, 11, 1, 9, 1, 2, 7, 4, 0, 0, 4, 0, 4, 9, 1, 8, 7, 5, 1, 11, 3, 0, 8, 8, 3, 0, 11, 6, 4, 7, 9, 0, 4, 5, 0, 2, 1, 11, 11, 6, 3, 1, 2, 2, 5, 7, 6, 6, 3, 4, 4, 3, 6, 5, 11, 0, 3, 2, 5, 7, 11, 2, 8, 1, 5, 0, 0, 7, 1, 8, 11, 6, 1, 6, 2, 5, 0, 6, 8, 1, 9, 6, 6, 4, 3, 7, 5, 2, 5, 7, 6, 9, 3, 2, 8, 3, 11, 5, 3, 8, 6, 0, 8, 7, 11, 5, 2, 2, 2, 0, 6, 5, 1, 4, 1, 5, 11, 3, 5, 11, 0, 11, 7, 11, 3, 7, 7, 2, 3, 1, 11, 3, 5, 2, 8, 4, 2, 0, 5, 8, 3, 9, 10, 6, 3, 5, 3, 11, 11, 0, 11, 1, 9, 3, 7, 11, 2, 1, 2, 3, 8
