"","p","MSE.l1","MSE.bgp","MSE.tgp","MSE.lin"
"1",1,0.881747963705189,0.21269240317208,0.219518920600604,0.299444838190253
"2",5,0.859720792561597,0.351270600331275,0.373989961026684,0.441995058271966
"3",10,0.914398272948931,0.369529461835816,0.374015547613816,0.385611279409021
"4",15,0.903581980274143,0.354618897565776,0.367955309324138,0.414031225890594
"5",20,0.899483734304276,0.336633976343497,0.344863126046058,0.452837357281659
"6",25,0.897792002928416,0.364870528132132,0.358607342175708,0.684798679807985
"7",30,0.898803539647075,0.318221362482753,0.319516677624882,0.598008492014094
"8",35,0.896529153518371,0.307338736826396,0.345210530387728,0.479631290490108
"9",40,0.917088855853962,0.356040533722366,0.368055238502684,0.638676201326664
"10",45,0.901740252789981,0.365513989204188,0.352928261397921,0.762400754479984
"11",50,0.903129179473246,0.325850753315145,0.333195306910815,0.703750825454405
"12",55,0.899519649462244,0.32212866050032,0.325645556628845,0.785318542020491
"13",60,0.903298178676774,0.328733680169212,0.352096025951691,0.764463671356664
"14",65,0.913739854967863,0.31153429169033,0.33912652577739,0.771735807292963
"15",70,0.904815643520281,0.347667705420761,0.379414425995264,0.978996513329923
"16",75,0.895762940306451,0.33684486651128,0.340546561777391,0.992130534328436
"17",80,0.903451290249225,0.345624580692172,0.345950401666564,0.937315734355159
"18",85,0.907506806948937,0.317831042592313,0.317309684300335,1.04468002432859
"19",90,0.906372922796457,0.335132644080497,0.334167824408882,0.69740640188858
"20",95,0.909335369873064,0.332031399977917,0.330870397499958,0.988026413480755
"21",100,0.904112609720858,0.340495575281218,0.340005344165215,0.924217797327983
"22",125,0.916195317754406,0.312528595320617,0.313312739998386,0.687588458640015
"23",150,0.908650827633279,0.347048313282751,0.348158516623489,0.749167504274295
"24",200,0.920367962523691,0.337935788064581,0.337667938769786,0
